ROOT: /content/drive/MyDrive/Colab Notebooks/CMPE-679-Labs/GloriaMbaka_LAB2
DEVICE: cuda
TOKENIZER_PATH: /content/drive/MyDrive/Colab Notebooks/CMPE-679-Labs/GloriaMbaka_LAB2/tokenizer/my_trained_tokenizer.json
TOKENIZED_DIR: /content/drive/MyDrive/Colab Notebooks/CMPE-679-Labs/GloriaMbaka_LAB2/tokenized_cache
USE_AMP: False
USE_LR_SCHEDULER: True
EPOCHS: 5
BATCH_SIZE: 64
GRAD_ACCUM_STEPS: 8
EFFECTIVE_BATCH_SIZE: 512
TRAIN_CHUNK_SIZE: 500000
WARMUP_STEPS: 8000
BASE_LR: 0.0005
SHUFFLE_CHUNKS: False
CHUNK_SHUFFLE_SEED: 42
Loading tokenized dataset from disk...
Train examples: 4508785
Validation examples: 3000
Test examples: 3003
Loaded full checkpoint from: /content/drive/MyDrive/Colab Notebooks/CMPE-679-Labs/GloriaMbaka_LAB2/checkpoints/lab2_en_de_latest.pt
Restored model / optimizer / scheduler / scaler state.
Epoch to resume: 4
Resume offset within epoch: 4000000
Samples trained so far: 4000000
Current LR: 2.311077e-04
Checkpoint batch_size: 64
Checkpoint effective_batch_size: 512
Completed chunks in current epoch: 8
Smoke test loss: 3.215855360031128

========== EN→DE Epoch 4/5 ==========
Resuming from training example offset 4000000
Epoch chunk progress: completed 8/10 | remaining 2
Training chunk 1/2 (global 9/10) | 4000000:4500000 / 4508785
Batch 5100 | LR 2.232798e-04 | Loss 1.6738 | AccumStep 5/8
Batch 5200 | LR 2.232428e-04 | Loss 1.5413 | AccumStep 1/8
Batch 5300 | LR 2.232086e-04 | Loss 1.7581 | AccumStep 5/8
Batch 5400 | LR 2.231716e-04 | Loss 1.8832 | AccumStep 1/8
Batch 5500 | LR 2.231375e-04 | Loss 1.6485 | AccumStep 5/8
Batch 5600 | LR 2.231005e-04 | Loss 1.6480 | AccumStep 1/8
Batch 5700 | LR 2.230664e-04 | Loss 1.8774 | AccumStep 5/8
Batch 5800 | LR 2.230295e-04 | Loss 1.8194 | AccumStep 1/8
Batch 5900 | LR 2.229954e-04 | Loss 1.6741 | AccumStep 5/8
Batch 6000 | LR 2.229585e-04 | Loss 1.7551 | AccumStep 1/8
Batch 6100 | LR 2.229244e-04 | Loss 1.8694 | AccumStep 5/8
Batch 6200 | LR 2.228876e-04 | Loss 1.9077 | AccumStep 1/8
Batch 6300 | LR 2.228536e-04 | Loss 1.8348 | AccumStep 5/8
Batch 6400 | LR 2.228168e-04 | Loss 1.6731 | AccumStep 1/8
Batch 6500 | LR 2.227828e-04 | Loss 1.8682 | AccumStep 5/8
Batch 6600 | LR 2.227460e-04 | Loss 1.8437 | AccumStep 1/8
Batch 6700 | LR 2.227120e-04 | Loss 1.8719 | AccumStep 5/8
Batch 6800 | LR 2.226753e-04 | Loss 1.8665 | AccumStep 1/8
Batch 6900 | LR 2.226414e-04 | Loss 1.8415 | AccumStep 5/8
Batch 7000 | LR 2.226047e-04 | Loss 1.8320 | AccumStep 1/8
Batch 7100 | LR 2.225708e-04 | Loss 1.6481 | AccumStep 5/8
Batch 7200 | LR 2.225341e-04 | Loss 1.7853 | AccumStep 1/8
Batch 7300 | LR 2.225003e-04 | Loss 1.6427 | AccumStep 5/8
Batch 7400 | LR 2.224636e-04 | Loss 1.8987 | AccumStep 1/8
Batch 7500 | LR 2.224298e-04 | Loss 1.8546 | AccumStep 5/8
Batch 7600 | LR 2.223932e-04 | Loss 1.7113 | AccumStep 1/8
Batch 7700 | LR 2.223594e-04 | Loss 1.7683 | AccumStep 5/8
Batch 7800 | LR 2.223228e-04 | Loss 2.0050 | AccumStep 1/8
  chunk_loss = 1.7990 | lr = 2.223172e-04 | batch_size = 64 | effective_batch_size = 512 | optimizer_steps = 977
Training chunk 3/10 (global 3/10) | 1000000:1500000 / 4508785
